f001,f002,f003,f004,f005,f006,f007,f008,f009,f010,f011,f012,f013,y
13/11/2018,11,11.4,46,0.8,876,0.1,1.57,0.0,0.0,Autumn,No Holiday,Yes,789
11/07/2018,21,27.3,78,1.2,1606,23.1,0.0,0.0,0.0,Summer,No Holiday,Yes,1936
22/07/2018,18,36.3,35,3.0,1860,18.3,0.89,0.0,0.0,Summer,No Holiday,Yes,1212
21/10/2018,3,9.2,68,0.4,1538,3.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,342
01/06/2018,11,26.8,38,2.6,1879,11.2,2.99,0.0,0.0,Summer,No Holiday,Yes,1036
06/04/2018,0,7.2,95,0.9,861,6.4,0.0,0.5,0.0,Spring,No Holiday,Yes,56
26/06/2018,20,24.1,94,4.5,214,23.0,0.0,0.5,0.0,Summer,No Holiday,Yes,199
01/06/2018,3,18.6,72,1.4,1340,13.4,0.0,0.0,0.0,Summer,No Holiday,Yes,366
03/01/2018,13,-2.2,31,2.3,1910,-17.0,1.13,0.0,0.0,Winter,No Holiday,Yes,279
07/04/2018,5,1.6,62,4.9,1372,-4.9,0.0,0.0,0.0,Spring,No Holiday,Yes,57
18/10/2018,15,19.0,38,1.9,2000,4.3,1.72,0.0,0.0,Autumn,No Holiday,Yes,1203
13/08/2018,7,27.0,86,0.9,718,24.4,0.22,0.0,0.0,Summer,No Holiday,Yes,1065
16/04/2018,1,7.6,62,1.2,1885,0.7,0.0,0.0,0.0,Spring,No Holiday,Yes,226
18/01/2018,1,3.2,72,1.9,306,-1.3,0.0,0.0,0.0,Winter,No Holiday,Yes,190
04/06/2018,21,22.6,62,1.1,1363,14.9,0.0,0.0,0.0,Summer,No Holiday,Yes,2377
28/03/2018,8,10.3,77,0.7,341,6.4,0.37,0.0,0.0,Spring,No Holiday,Yes,1353
21/01/2018,18,2.5,24,2.0,2000,-16.0,0.02,0.0,0.0,Winter,No Holiday,Yes,295
10/07/2018,4,20.6,97,0.5,1989,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes,133
27/05/2018,5,17.6,0,0.8,1304,9.7,0.0,0.0,0.0,Spring,No Holiday,Yes,174
26/12/2017,20,-6.1,32,4.7,2000,-20.1,0.0,0.0,0.0,Winter,No Holiday,Yes,252
23/12/2017,19,6.0,76,1.1,219,2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,260
18/04/2018,0,9.6,44,2.2,1417,-2.0,0.0,0.0,0.0,Spring,No Holiday,Yes,515
12/07/2018,1,26.6,80,0.0,1485,22.8,0.0,0.0,0.0,Summer,No Holiday,Yes,787
16/10/2018,8,10.4,63,0.6,1367,3.6,0.19,0.0,0.0,Autumn,No Holiday,Yes,2134
02/12/2017,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,262
16/05/2018,1,24.1,67,0.5,686,17.5,0.0,0.0,0.0,Spring,No Holiday,Yes,502
30/04/2018,17,24.0,53,3.5,536,13.8,1.39,0.0,0.0,Spring,No Holiday,Yes,1706
21/05/2018,0,15.3,29,1.3,2000,-2.6,0.0,0.0,0.0,Spring,No Holiday,Yes,666
30/03/2018,2,10.8,72,0.4,639,5.9,0.0,0.0,0.0,Spring,No Holiday,Yes,261
27/06/2018,17,25.1,70,2.2,796,19.2,0.48,0.0,0.0,Summer,No Holiday,Yes,2115
24/01/2018,6,-15.7,29,2.5,2000,-29.7,0.0,0.0,0.9,Winter,No Holiday,Yes,71
26/11/2018,2,2.8,87,1.1,321,0.8,0.0,0.0,0.3,Autumn,No Holiday,Yes,175
04/03/2018,17,11.8,82,1.7,990,8.8,0.4,0.0,0.0,Spring,No Holiday,Yes,492
13/10/2018,6,6.6,80,1.0,1424,3.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,209
23/03/2018,11,7.1,50,1.7,799,-2.6,2.24,0.0,0.0,Spring,No Holiday,Yes,584
27/07/2018,4,27.3,85,1.6,671,24.5,0.0,0.0,0.0,Summer,No Holiday,Yes,218
16/11/2018,1,7.8,59,0.6,768,0.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,520
21/12/2017,20,0.2,72,0.7,990,-4.2,0.0,0.0,0.8,Winter,No Holiday,Yes,288
01/10/2018,13,17.6,49,4.7,2000,6.7,1.89,0.0,0.0,Autumn,No Holiday,Yes,1087
19/12/2017,5,-3.9,66,0.7,1209,-9.3,0.0,0.0,2.6,Winter,No Holiday,Yes,55
27/06/2018,11,23.4,73,1.3,827,18.2,2.38,0.0,0.0,Summer,No Holiday,Yes,1015
24/05/2018,18,22.6,39,2.8,1655,7.9,1.1,0.0,0.0,Spring,No Holiday,Yes,2825
20/10/2018,18,16.6,41,2.4,1811,3.2,0.04,0.0,0.0,Autumn,No Holiday,Yes,1707
15/09/2018,9,22.7,72,1.2,2000,17.3,0.59,0.0,0.0,Autumn,No Holiday,Yes,934
30/10/2018,11,7.5,36,1.4,1993,-6.6,1.98,0.0,0.0,Autumn,No Holiday,Yes,782
05/08/2018,17,32.8,61,4.0,1878,24.2,1.46,0.0,0.0,Summer,No Holiday,Yes,978
26/05/2018,0,17.0,59,1.1,1299,8.9,0.0,0.0,0.0,Spring,No Holiday,Yes,987
07/06/2018,2,18.8,88,0.3,500,16.7,0.0,0.0,0.0,Summer,No Holiday,Yes,418
27/04/2018,6,9.9,66,1.5,931,3.8,0.0,0.0,0.0,Spring,No Holiday,Yes,427
20/05/2018,1,14.7,43,1.2,2000,2.2,0.0,0.0,0.0,Spring,No Holiday,Yes,713
25/05/2018,1,16.9,61,1.0,844,9.3,0.0,0.0,0.0,Spring,No Holiday,Yes,610
03/09/2018,13,24.9,78,1.5,1910,20.7,0.72,0.0,0.0,Autumn,No Holiday,Yes,731
23/05/2018,9,16.0,60,1.9,1992,8.2,1.98,0.0,0.0,Spring,No Holiday,Yes,1125
23/03/2018,18,9.7,36,3.6,948,-4.6,0.37,0.0,0.0,Spring,No Holiday,Yes,1611
28/05/2018,19,24.4,44,2.8,1979,11.3,0.45,0.0,0.0,Spring,No Holiday,Yes,2656
13/01/2018,7,-6.5,68,0.6,571,-11.4,0.0,0.0,0.0,Winter,No Holiday,Yes,43
13/04/2018,16,18.3,16,1.0,2000,-7.9,0.7,0.0,0.0,Spring,No Holiday,Yes,1270
28/04/2018,21,13.9,37,1.1,1751,-0.5,0.0,0.0,0.0,Spring,No Holiday,Yes,1351
24/08/2018,11,26.2,76,2.6,1995,21.6,0.88,0.0,0.0,Summer,No Holiday,Yes,415
24/08/2018,23,23.4,79,2.7,1990,19.5,0.0,0.0,0.0,Summer,No Holiday,Yes,1084
05/06/2018,0,20.5,71,2.8,1204,15.0,0.0,0.0,0.0,Summer,No Holiday,Yes,927
07/08/2018,6,26.8,70,0.7,2000,20.8,0.0,0.0,0.0,Summer,No Holiday,Yes,634
16/02/2018,22,-0.6,70,3.4,1204,-5.4,0.0,0.0,0.0,Winter,Holiday,Yes,116
05/12/2017,11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,334
28/02/2018,2,5.2,54,1.3,516,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,174
29/06/2018,20,26.2,70,1.5,792,20.2,0.12,0.0,0.0,Summer,No Holiday,Yes,2339
28/01/2018,22,-7.9,40,2.5,1997,-19.1,0.0,0.0,0.0,Winter,No Holiday,Yes,105
23/12/2017,6,5.1,81,1.3,375,2.1,0.0,0.0,0.0,Winter,No Holiday,Yes,63
16/10/2018,5,10.2,70,1.5,1519,4.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,202
27/10/2018,8,7.7,62,2.4,1985,0.8,0.23,0.0,0.0,Autumn,No Holiday,Yes,713
03/07/2018,10,27.6,71,1.6,1870,21.8,2.14,0.0,0.0,Summer,No Holiday,Yes,818
22/07/2018,23,31.2,52,1.5,1670,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes,1030
25/12/2017,9,-4.6,40,3.5,2000,-16.1,0.18,0.0,0.0,Winter,Holiday,Yes,107
12/03/2018,15,15.3,32,2.9,458,-1.3,2.02,0.0,0.0,Spring,No Holiday,Yes,694
27/11/2018,19,9.3,52,2.7,482,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1023
08/07/2018,21,25.3,55,1.4,2000,15.6,0.0,0.0,0.0,Summer,No Holiday,Yes,2055
24/02/2018,23,-0.6,39,1.3,1731,-12.8,0.0,0.0,0.0,Winter,No Holiday,Yes,187
19/03/2018,11,10.2,65,3.3,2000,3.9,0.57,0.0,0.0,Spring,No Holiday,Yes,393
09/02/2018,23,2.0,70,0.7,689,-2.9,0.0,0.0,0.0,Winter,No Holiday,Yes,193
09/08/2018,5,27.8,82,1.0,1599,24.4,0.0,0.0,0.0,Summer,No Holiday,Yes,292
14/08/2018,19,32.7,56,2.2,2000,22.7,0.33,0.0,0.0,Summer,No Holiday,Yes,1972
21/12/2017,11,-0.7,62,0.7,519,-7.0,0.77,0.0,2.0,Winter,No Holiday,Yes,243
04/07/2018,20,27.1,67,2.9,1949,20.4,0.06,0.0,0.0,Summer,No Holiday,Yes,2415
08/08/2018,14,33.6,50,3.5,1993,21.7,1.15,0.0,0.0,Summer,No Holiday,Yes,670
10/12/2017,2,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,Winter,No Holiday,Yes,243
16/09/2018,15,23.2,83,1.5,349,20.1,0.77,0.5,0.0,Autumn,No Holiday,Yes,222
30/06/2018,3,21.9,88,0.9,274,19.8,0.0,0.0,0.0,Summer,No Holiday,Yes,625
27/03/2018,11,15.8,40,1.9,647,2.2,1.95,0.0,0.0,Spring,No Holiday,Yes,560
20/09/2018,0,20.1,58,0.3,2000,11.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,886
22/08/2018,14,36.2,36,1.5,1985,18.7,2.87,0.0,0.0,Summer,No Holiday,Yes,760
05/01/2018,12,-0.3,45,2.2,1066,-10.8,1.01,0.0,0.0,Winter,No Holiday,Yes,362
19/03/2018,19,8.4,51,3.3,1977,-1.1,0.01,0.0,0.0,Spring,No Holiday,Yes,818
22/06/2018,0,20.7,67,1.9,885,14.3,0.0,0.0,0.0,Summer,No Holiday,Yes,1137
28/06/2018,5,22.1,93,0.4,333,20.9,0.0,0.0,0.0,Summer,No Holiday,Yes,266
15/08/2018,3,29.1,70,0.3,1952,23.0,0.0,0.0,0.0,Summer,Holiday,Yes,474
17/10/2018,6,8.8,77,0.2,1077,4.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,503
27/07/2018,19,32.0,68,3.0,1286,25.3,0.38,0.0,0.0,Summer,No Holiday,Yes,1657
29/07/2018,21,31.1,47,1.3,2000,18.4,0.0,0.0,0.0,Summer,No Holiday,Yes,1638
23/04/2018,11,8.9,91,2.2,437,7.5,0.29,1.5,0.0,Spring,No Holiday,Yes,10
19/10/2018,18,16.6,40,2.4,2000,2.9,0.11,0.0,0.0,Autumn,No Holiday,Yes,2631
10/08/2018,10,30.5,58,0.6,1875,21.2,1.84,0.0,0.0,Summer,No Holiday,Yes,683
14/07/2018,11,29.0,65,2.0,1642,21.7,2.22,0.0,0.0,Summer,No Holiday,Yes,945
29/03/2018,23,12.7,75,1.6,475,8.3,0.0,0.0,0.0,Spring,No Holiday,Yes,614
09/07/2018,14,20.2,89,1.0,1854,18.3,0.27,0.5,0.0,Summer,No Holiday,Yes,110
01/04/2018,22,16.7,83,2.4,416,13.7,0.0,0.0,0.0,Spring,No Holiday,Yes,841
17/12/2017,13,-4.5,25,3.2,1989,-21.6,1.14,0.0,0.0,Winter,No Holiday,Yes,223
24/01/2018,21,-14.7,40,3.2,1933,-25.3,0.0,0.0,0.7,Winter,No Holiday,Yes,132
17/08/2018,7,22.0,49,1.7,2000,10.7,0.23,0.0,0.0,Summer,No Holiday,Yes,1271
06/12/2017,1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,Winter,No Holiday,Yes,144
07/04/2018,17,7.6,36,5.3,2000,-6.5,1.8,0.0,0.0,Spring,No Holiday,Yes,908
17/12/2017,17,-3.8,35,2.4,2000,-17.0,0.17,0.0,0.0,Winter,No Holiday,Yes,266
05/12/2017,15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,353
07/03/2018,14,9.8,38,0.9,1908,-3.8,0.93,0.0,0.0,Spring,No Holiday,Yes,505
04/02/2018,6,-11.8,54,2.4,1917,-19.2,0.0,0.0,0.0,Winter,No Holiday,Yes,23
22/09/2018,5,18.8,96,0.2,973,18.1,0.0,6.5,0.0,Autumn,No Holiday,Yes,93
13/04/2018,14,18.7,14,1.6,2000,-9.3,1.25,0.0,0.0,Spring,No Holiday,Yes,1063
24/07/2018,10,32.4,54,0.9,1631,21.8,1.45,0.0,0.0,Summer,No Holiday,Yes,610
01/08/2018,6,27.8,73,0.9,1971,22.5,0.01,0.0,0.0,Summer,No Holiday,Yes,622
21/07/2018,13,35.2,34,1.8,1636,16.9,3.21,0.0,0.0,Summer,No Holiday,Yes,727
08/10/2018,12,19.2,31,0.5,1994,1.6,2.4,0.0,0.0,Autumn,No Holiday,Yes,1238
19/04/2018,19,17.4,34,2.2,779,1.3,0.16,0.0,0.0,Spring,No Holiday,Yes,1489
07/09/2018,14,25.2,43,3.2,1981,11.7,2.59,0.0,0.0,Autumn,No Holiday,Yes,1187
03/02/2018,21,-9.1,38,2.7,2000,-20.8,0.0,0.0,0.0,Winter,No Holiday,Yes,107
13/09/2018,21,23.8,67,0.6,2000,17.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,2000
14/07/2018,9,27.0,70,1.1,1393,21.0,1.15,0.0,0.0,Summer,No Holiday,Yes,909
24/12/2017,21,0.4,69,3.5,477,-4.6,0.0,0.0,0.0,Winter,Holiday,Yes,145
05/08/2018,1,27.7,83,2.7,1128,24.5,0.0,0.0,0.0,Summer,No Holiday,Yes,758
03/08/2018,8,31.8,55,1.3,1537,21.6,0.78,0.0,0.0,Summer,No Holiday,Yes,1471
17/10/2018,20,12.2,47,1.1,2000,1.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,1558
10/02/2018,16,0.3,17,4.9,2000,-21.9,0.87,0.0,0.0,Winter,No Holiday,Yes,291
22/05/2018,6,15.5,0,0.5,1691,10.4,0.06,0.0,0.0,Spring,Holiday,Yes,277
01/09/2018,6,20.9,87,0.7,1198,18.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,362
05/11/2018,7,7.0,86,1.1,455,4.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1115
20/02/2018,21,1.1,21,1.6,2000,-18.8,0.0,0.0,0.0,Winter,No Holiday,Yes,415
28/01/2018,15,-1.9,23,4.3,2000,-20.3,0.7,0.0,0.0,Winter,No Holiday,Yes,217
23/12/2017,7,5.1,82,0.7,334,2.2,0.0,0.0,0.0,Winter,No Holiday,Yes,99
21/03/2018,4,1.3,39,2.3,2000,-11.1,0.0,0.0,0.0,Spring,No Holiday,Yes,70
05/04/2018,1,9.0,62,1.9,2000,2.0,0.0,0.0,0.0,Spring,No Holiday,Yes,373
24/04/2018,22,10.4,43,0.7,2000,-1.6,0.0,0.0,0.0,Spring,No Holiday,Yes,1215
11/04/2018,5,9.7,84,1.7,447,7.1,0.0,0.0,0.0,Spring,No Holiday,No,0
15/07/2018,17,32.7,52,3.0,1872,21.5,1.96,0.0,0.0,Summer,No Holiday,Yes,1247
29/01/2018,18,-6.6,34,2.5,2000,-19.8,0.06,0.0,0.0,Winter,No Holiday,Yes,438
10/07/2018,6,20.7,97,0.9,2000,20.2,0.02,0.0,0.0,Summer,No Holiday,Yes,534
26/03/2018,17,17.1,31,3.3,1075,-0.1,1.33,0.0,0.0,Spring,No Holiday,Yes,925
20/01/2018,21,2.1,48,2.8,346,-7.7,0.0,0.0,0.0,Winter,No Holiday,Yes,220
18/10/2018,14,18.7,39,1.3,2000,4.4,1.66,0.0,0.0,Autumn,No Holiday,Yes,1122
15/04/2018,4,6.0,84,1.7,951,3.4,0.0,0.0,0.0,Spring,No Holiday,Yes,110
27/03/2018,10,13.9,40,0.8,586,0.5,1.6,0.0,0.0,Spring,No Holiday,Yes,462
12/05/2018,20,15.7,97,0.3,343,15.2,0.0,1.0,0.0,Spring,No Holiday,Yes,29
16/02/2018,19,0.6,59,2.3,1939,-6.5,0.0,0.0,0.0,Winter,Holiday,Yes,126
30/01/2018,14,-1.1,46,2.1,1437,-11.2,0.72,0.0,0.0,Winter,No Holiday,Yes,238
29/04/2018,4,10.3,63,0.7,1277,3.5,0.0,0.0,0.0,Spring,No Holiday,Yes,183
09/05/2018,10,16.1,43,1.4,1985,3.5,2.41,0.0,0.0,Spring,No Holiday,Yes,954
19/04/2018,5,7.9,59,1.4,1005,0.3,0.0,0.0,0.0,Spring,No Holiday,Yes,153
20/12/2017,17,-0.9,70,1.1,299,-5.6,0.02,0.0,2.2,Winter,No Holiday,Yes,237
26/08/2018,17,23.5,58,1.2,2000,14.7,0.52,0.0,0.0,Summer,No Holiday,Yes,1399
14/02/2018,20,2.8,29,2.8,1473,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes,262
19/09/2018,0,21.0,66,0.4,2000,14.3,0.0,0.0,0.0,Autumn,No Holiday,No,0
06/01/2018,17,1.1,31,1.7,1989,-14.1,0.26,0.0,0.0,Winter,No Holiday,Yes,354
03/12/2017,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,Winter,No Holiday,Yes,117
15/02/2018,16,3.2,16,3.0,2000,-20.2,1.45,0.0,0.0,Winter,Holiday,Yes,273
15/06/2018,10,22.0,56,1.5,1989,12.8,1.91,0.0,0.0,Summer,No Holiday,Yes,1004
31/05/2018,23,20.5,62,2.2,1903,12.9,0.0,0.0,0.0,Spring,No Holiday,Yes,1343
03/08/2018,4,31.0,73,0.5,990,25.5,0.0,0.0,0.0,Summer,No Holiday,Yes,236
19/07/2018,13,32.6,47,2.7,1641,19.8,3.36,0.0,0.0,Summer,No Holiday,Yes,798
20/12/2017,13,-1.3,43,1.0,1777,-12.3,0.8,0.0,1.7,Winter,No Holiday,Yes,228
15/03/2018,20,10.5,97,1.8,372,10.0,0.0,0.0,0.0,Spring,No Holiday,Yes,533
20/08/2018,11,31.2,45,1.9,1810,17.8,2.72,0.0,0.0,Summer,No Holiday,Yes,766
22/08/2018,21,33.1,46,2.7,2000,19.9,0.0,0.0,0.0,Summer,No Holiday,Yes,1807
29/03/2018,15,20.8,42,3.1,576,7.4,2.1,0.0,0.0,Spring,No Holiday,Yes,781
05/03/2018,19,5.8,53,1.7,2000,-3.0,0.02,0.0,0.0,Spring,No Holiday,Yes,782
11/12/2017,7,-6.0,39,3.1,1996,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,325
03/12/2017,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,Winter,No Holiday,Yes,350
16/02/2018,10,-1.3,32,1.5,1933,-15.9,1.24,0.0,0.0,Winter,Holiday,Yes,78
11/02/2018,3,-7.2,43,2.0,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,58
03/11/2018,7,5.2,79,1.3,894,1.8,0.0,0.0,0.0,Autumn,No Holiday,No,0
06/01/2018,1,-4.8,54,1.2,1219,-12.7,0.0,0.0,0.0,Winter,No Holiday,Yes,222
01/01/2018,17,1.8,33,3.3,1913,-12.8,0.18,0.0,0.0,Winter,Holiday,Yes,271
18/07/2018,9,27.2,59,0.4,948,18.4,1.18,0.0,0.0,Summer,No Holiday,Yes,982
20/11/2018,14,12.3,16,2.5,1797,-12.8,1.69,0.0,0.0,Autumn,No Holiday,Yes,790
11/11/2018,23,6.3,62,0.0,1993,-0.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,554
07/03/2018,8,2.6,63,1.6,1857,-3.7,0.14,0.0,0.0,Spring,No Holiday,Yes,1032
09/04/2018,11,7.5,54,0.9,1013,-1.2,2.49,0.0,0.0,Spring,No Holiday,Yes,644
11/11/2018,3,7.1,85,0.7,329,4.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,314
23/09/2018,3,15.8,70,0.8,2000,10.3,0.0,0.0,0.0,Autumn,Holiday,Yes,334
18/12/2017,17,0.4,84,0.8,317,-1.9,0.15,0.0,2.7,Winter,No Holiday,Yes,175
08/12/2017,20,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,384
29/05/2018,7,19.9,63,1.1,934,12.6,0.24,0.0,0.0,Spring,No Holiday,Yes,1427
25/05/2018,5,14.3,75,0.6,635,9.9,0.0,0.0,0.0,Spring,No Holiday,Yes,201
10/12/2017,12,2.3,88,0.3,245,0.5,0.28,0.0,3.1,Winter,No Holiday,Yes,119
03/06/2018,22,23.0,38,1.2,1996,7.9,0.0,0.0,0.0,Summer,No Holiday,Yes,1741
12/10/2018,12,14.7,38,1.0,1884,0.5,2.55,0.0,0.0,Autumn,No Holiday,Yes,1073
